filename,chroma_stft,rmse,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,tempo, mfcc1, mfcc2, mfcc3, mfcc4, mfcc5, mfcc6, mfcc7, mfcc8, mfcc9, mfcc10, mfcc11, mfcc12, mfcc13, mfcc14, mfcc15, mfcc16, mfcc17, mfcc18, mfcc19, mfcc20,label
classical.00074.wav,0.2374262,0.037299454,1359.9053069250142,1572.4529174510183,2568.6178012529026,0.07211672189434984,161.4990234375,-289.79858,143.90932,-26.996054,24.07006,-1.1477429,-6.297493,-2.7453082,-3.5285683,-3.0213673,-3.1466315,-7.257054,-1.6843588,3.0789697,2.6862643,2.5350485,4.6141305,2.376674,-1.27305,-3.5417576,-2.8063865,classical
classical.00021.wav,0.26676023,0.0454691,1371.2835660918877,1440.7914450306453,2570.001126221459,0.07956679022349071,135.99917763157896,-278.21188,147.88774,-31.57807,20.365623,-9.584999,-6.243183,-13.607879,-0.66435367,-7.2735887,1.0241375,-11.754583,-0.96495295,-2.2219443,-0.5742043,1.875123,5.149712,2.6304474,0.8219378,-1.6470679,-0.104044914,classical
classical.00017.wav,0.25639498,0.03737815,1358.8979027398573,1417.8874326346383,2417.5937144748937,0.08111553369291796,89.10290948275862,-311.53937,148.68327,-33.481117,10.326815,-12.862015,1.2177198,-12.899295,0.7980942,-9.725868,2.0496948,-5.108884,6.745241,4.60557,3.7648313,1.2753288,1.2436005,-0.08959866,1.511763,0.38747734,-3.003955,classical
classical.00036.wav,0.2392824,0.016010107,1281.7708462575204,1502.8957260222567,2440.360243475474,0.059410449521091334,107.666015625,-419.2289,127.44835,-3.7927341,23.19407,-4.3380632,4.040501,-8.202416,-7.616569,-7.080099,-2.924447,-7.414776,-5.4390063,-9.09989,-10.616878,-5.737675,-0.3924861,7.027566,5.593974,-3.46912,-5.166212,classical
classical.00097.wav,0.22232406,0.036727086,1494.1157444836924,1670.9244477348907,2780.841517965122,0.08592124915344428,103.359375,-280.69504,122.728615,-14.389361,26.855831,1.3561703,5.990098,-13.10404,3.3744996,-11.545339,5.199524,-1.048747,2.7539122,0.05728069,1.3524733,1.5121089,-2.217835,0.7808488,-3.965543,-9.139271,-6.930955,classical
classical.00012.wav,0.23565796,0.031418923,1179.9086542698367,1332.0760426712775,2153.69531023244,0.06593875471652477,95.703125,-362.7068,143.95001,-18.978735,30.648396,1.0513625,0.26869902,-7.9717984,-3.8689754,-8.924188,3.2462318,-4.4491057,3.633875,4.9317765,3.2798994,6.3711314,6.0724907,3.8466637,-0.2521299,1.1599385,1.7927815,classical
classical.00037.wav,0.28417304,0.041551378,1534.0649775815205,1464.7107229101764,2838.2245043113876,0.09395219076528638,161.4990234375,-275.34625,125.31128,-41.04367,24.590538,-4.7679615,-4.266323,-14.999459,-5.0511284,-4.9915376,2.46848,-10.886419,-8.020302,-5.1550593,-4.618427,0.7149348,6.5177035,5.9065533,2.6838138,-2.0320349,-8.060385,classical
classical.00053.wav,0.3045776,0.13988432,1465.4818859539198,1554.5106174668213,2749.1917093471848,0.0879189694998065,215.33203125,-119.290344,149.58826,-43.334373,24.639397,-5.615126,10.786389,-2.8994284,0.7871974,-6.547197,4.396779,-1.2928005,1.3654313,-1.0811418,-2.4352403,-1.9375854,1.2980736,-1.3811971,1.044974,-5.6029663,-1.9862428,classical
classical.00043.wav,0.19095671,0.11540756,1063.1533055256577,1552.0890396262078,1610.948592147591,0.051040885618227554,129.19921875,-249.53381,161.60559,10.13459,-3.0793083,-0.6013951,-2.0767026,-12.190371,-8.60327,-14.6388035,-12.051189,-12.306467,-7.1756816,-7.889322,-2.0821,-2.9086137,-0.85994357,-3.9728773,-0.88354445,-3.9874754,-3.8852253,classical
classical.00028.wav,0.2629472,0.06261682,1313.6988926998818,1371.0499732024318,2397.0521720201236,0.08109777113970588,161.4990234375,-228.91713,153.98312,-30.688818,20.806396,-6.0856743,1.17442,-10.787298,-3.8875835,-11.598487,0.88362455,-8.282286,-0.7245336,-3.1098046,-3.4379349,-2.6290295,0.719196,-1.973606,-2.5135117,1.5714751,-1.4848672,classical
